Company Name,Index,CALENDAR_YEAR,CALENDAR_QTR,USD_Value,Local_Currency,VAL_UNIT,Local_Value
Samsung,Operating Expense,2023,Q1,13403.38,KRW,Million,17098100.0
Samsung,Operating Income,2023,Q1,501.84,KRW,Million,640178.0
Samsung,Revenue,2023,Q1,49970.66,KRW,Million,63745371.0
Samsung,Tax Expense,2023,Q1,197.37,KRW,Million,251780.0
Samsung,Total Asset,2023,Q1,348269.95,KRW,Million,454091777.0
Samsung,Cost of Goods Sold,2023,Q2,31654.8,KRW,Million,41650000.0
Samsung,Operating Expense,2023,Q2,13444.59,KRW,Million,17689796.0
Samsung,Operating Income,2023,Q2,508.11,KRW,Million,668547.0
Samsung,Revenue,2023,Q2,45605.36,KRW,Million,60005533.0
Samsung,Tax Expense,2023,Q2,-8.04,KRW,Million,-10576.0
Samsung,Total Asset,2023,Q2,339922.27,KRW,Million,448000552.0
Samsung,Cost of Goods Sold,2023,Q3,35500.76,KRW,Million,46618726.0
Samsung,Operating Expense,2023,Q3,13975.58,KRW,Million,18352392.0
Samsung,Operating Income,2023,Q3,1853.17,KRW,Million,2433534.0
Samsung,Revenue,2023,Q3,51329.51,KRW,Million,67404652.0
Samsung,Tax Expense,2023,Q3,-1448.07,KRW,Million,-1901570.0
Samsung,Total Asset,2023,Q3,336918.83,KRW,Million,454466447.0
Samsung,Cost of Goods Sold,2023,Q4,34933.22,KRW,Million,46115571.0
Samsung,Operating Expense,2023,Q4,14271.31,KRW,Million,18839650.0
Samsung,Operating Income,2023,Q4,2139.76,KRW,Million,2824717.0
Samsung,Revenue,2023,Q4,51344.29,KRW,Million,67779938.0
Samsung,Tax Expense,2023,Q4,-2136.55,KRW,Million,-2820469.0
Samsung,Total Asset,2023,Q4,351765.73,KRW,Million,455905980.0
Samsung,Cost of Goods Sold,2024,Q1,34493.03,KRW,Million,45886332.0
Samsung,Operating Expense,2024,Q1,14600.58,KRW,Million,19423260.0
Samsung,Operating Income,2024,Q1,4965.78,KRW,Million,6606009.0
Samsung,Revenue,2024,Q1,54059.39,KRW,Million,71915601.0
Samsung,Tax Expense,2024,Q1,715.64,KRW,Million,952015.0
Samsung,Total Asset,2024,Q1,349838.28,KRW,Million,470899812.0
Samsung,Cost of Goods Sold,2024,Q2,32313.19,KRW,Million,44310000.0
Samsung,Operating Expense,2024,Q2,14083.62,KRW,Million,19312398.0
Samsung,Operating Income,2024,Q2,7616.23,KRW,Million,10443878.0
Samsung,Revenue,2024,Q2,54014.52,KRW,Million,74068302.0
Samsung,Tax Expense,2024,Q2,1279.11,KRW,Million,1753999.0
Samsung,Total Asset,2024,Q2,352217.83,KRW,Million,485757698.0
Samsung,Gross Profit Margin (%),2020,Q1,37.08706368735045,KRW,Million,37.08706368735045
Samsung,Gross Profit Margin (%),2020,Q2,39.761144015359854,KRW,Million,39.761144015359854
Samsung,Gross Profit Margin (%),2020,Q3,40.311354611183056,KRW,Million,40.311354611183056
Samsung,Gross Profit Margin (%),2020,Q4,38.580013344270945,KRW,Million,38.580013344270945
Samsung,Gross Profit Margin (%),2021,Q1,36.53318535217116,KRW,Million,36.53318535217116
Samsung,Gross Profit Margin (%),2021,Q2,41.779366730072766,KRW,Million,41.779366730072766
Samsung,Gross Profit Margin (%),2021,Q3,42.01071714940582,KRW,Million,42.01071714940582
Samsung,Gross Profit Margin (%),2021,Q4,41.29661412622214,KRW,Million,41.29661412622214
Samsung,Gross Profit Margin (%),2022,Q1,39.48432312270458,KRW,Million,39.48432312270458
Samsung,Gross Profit Margin (%),2022,Q2,40.06756705033225,KRW,Million,40.06756705033225
